Application_ID,Application_Name,Business_Unit,Region,Application_Owner,Lifecycle_Stage,Application_Type,Technical_Fit,Business_Fit,Annual_Cost_EUR,Active_Users,Last_Review_Date,Next_Review_Date,Audit_Status,GDPR_Compliance,IT_Audit_Status,Data_Sensitivity,Open_Issues
APP-1010,SAP Ariba,Supply Chain,Western Europe,Peter Braun,Phase-Out,Hybrid,Adequate,Low Value,465167.61,1657,2024-08-04,2025-02-18,Non-Compliant,Compliant,Passed,Low,7
APP-1011,Tableau Server,Sales & Marketing,DACH,Thomas Müller,Phase-Out,On-Premise,Excellent,Mission Critical,298335.66,68,2024-10-10,2025-05-05,Compliant,Compliant,Passed,Medium,8
APP-1012,Veeva Vault,Customer Solutions,Western Europe,Michael Wagner,Phase-Out,SaaS,Poor,Important,129068.65,3884,2024-03-08,2025-02-03,Compliant,Non-Compliant,Failed,Medium,14
APP-1013,Oracle EPM,Operations,Eastern Europe,Peter Braun,Planned,On-Premise,Excellent,Important,39700.21,2789,2024-11-30,2025-04-19,Compliant,Compliant,Failed,Low,5
APP-1014,SAP SuccessFactors,Supply Chain,Western Europe,Maria Fischer,Pilot,SaaS,Excellent,Mission Critical,227134.07,4518,2025-04-17,2025-08-23,Compliant,Non-Compliant,Failed,High,15
APP-1015,Adobe Experience Manager,Finance & Controlling,North America,Peter Braun,Active,Hybrid,Adequate,Low Value,11056.14,3208,2024-03-25,2025-01-03,Non-Compliant,Compliant,Passed,Low,9
APP-1016,Pega Platform,Finance & Controlling,Asia Pacific,Peter Braun,Phase-Out,On-Premise,Excellent,Low Value,376508.02,478,2025-01-11,2025-05-12,Compliant,Compliant,Passed,High,2
APP-1017,MuleSoft Anypoint,Customer Solutions,North America,Maria Fischer,Under Review,Hybrid,Excellent,Low Value,293670.34,335,2024-03-02,2024-10-04,Pending Review,Compliant,In Progress,Medium,12
APP-1018,Celonis Process Mining,Finance & Controlling,Eastern Europe,Peter Braun,Active,SaaS,Excellent,Low Value,465218.98,604,2024-08-22,2025-04-30,Compliant,Pending,Passed,High,11
APP-1019,SharePoint Online,Sales & Marketing,North America,Klaus Weber,Active,Hybrid,Adequate,Mission Critical,224710.44,4460,2024-05-25,2024-11-11,Compliant,Compliant,Passed,Medium,4
APP-1020,Teams Voice,Supply Chain,DACH,Michael Wagner,Active,SaaS,Poor,Useful,109762.68,2172,2025-01-02,2025-09-24,Compliant,Compliant,Passed,Medium,10
APP-1021,DocuSign,Operations,DACH,Peter Braun,Active,SaaS,Excellent,Mission Critical,280323.41,3513,2024-03-23,2025-02-02,Compliant,Pending,Passed,High,13
APP-1022,Coupa Procurement,Finance & Controlling,DACH,Michael Wagner,Active,Hybrid,Good,Mission Critical,450473.07,1730,2025-04-05,2025-07-24,In Progress,Compliant,Passed,High,5
APP-1023,Anaplan Planning,HR & People,DACH,Michael Wagner,Planned,On-Premise,Good,Useful,393369.38,3382,2025-04-18,2026-01-03,Compliant,Non-Compliant,Passed,High,6
APP-1024,Snowflake Data Cloud,Operations,North America,Stefan Hoffmann,Active,Hybrid,Poor,Useful,119232.54,1592,2024-06-05,2024-12-28,Compliant,Non-Compliant,In Progress,Medium,0
APP-1025,DataStage ETL,Sales & Marketing,North America,Laura Zimmermann,Active,Hybrid,Poor,Useful,28746.03,4897,2024-04-01,2024-11-12,Non-Compliant,Non-Compliant,Passed,High,8
APP-1026,SolarWinds ITSM,Sales & Marketing,Eastern Europe,Laura Zimmermann,Active,SaaS,Adequate,Low Value,346560.0,1624,2024-09-23,2025-09-23,Pending Review,Compliant,In Progress,Medium,9
APP-1027,Dynatrace APM,Customer Solutions,Western Europe,Laura Zimmermann,Under Review,On-Premise,Poor,Low Value,281662.11,1581,2024-12-22,2025-08-20,In Progress,Non-Compliant,Passed,Medium,9
APP-1028,CyberArk PAM,Supply Chain,DACH,Stefan Hoffmann,Pilot,On-Premise,Good,Low Value,237844.21,3632,2024-10-23,2025-07-04,Compliant,Compliant,Passed,Medium,9
APP-1029,Qualys VM,Finance & Controlling,Eastern Europe,Maria Fischer,Active,Custom Built,Excellent,Low Value,129972.85,3902,2024-01-13,2024-05-05,In Progress,Non-Compliant,Failed,Low,7
APP-1030,SAP GRC,Finance & Controlling,Eastern Europe,Maria Fischer,Active,SaaS,Good,Low Value,391426.0,1802,2025-04-02,2025-08-24,In Progress,Non-Compliant,Passed,High,14
APP-1031,RSA Archer,Customer Solutions,Western Europe,Sarah Neumann,Phase-Out,On-Premise,Poor,Low Value,475519.41,3635,2024-10-31,2025-07-10,Non-Compliant,Compliant,In Progress,Medium,15
APP-1032,OneTrust Privacy,Customer Solutions,DACH,Maria Fischer,Under Review,On-Premise,Adequate,Mission Critical,124901.85,2761,2024-02-09,2024-10-02,Compliant,Compliant,Passed,Low,2
APP-1033,Knauf Customer Portal,HR & People,Western Europe,Thomas Müller,Phase-Out,Custom Built,Poor,Mission Critical,40510.2,3451,2024-08-26,2025-06-24,Non-Compliant,Pending,Failed,Medium,13
APP-1034,Knauf Product Configurator,IT & Infrastructure,Eastern Europe,Julia Becker,Phase-Out,SaaS,Poor,Low Value,249232.44,2245,2025-02-13,2025-09-03,Non-Compliant,Compliant,Failed,Low,4
APP-1035,Knauf Dealer App,IT & Infrastructure,Western Europe,Stefan Hoffmann,Under Review,On-Premise,Good,Low Value,51134.26,3521,2024-10-30,2025-02-10,Compliant,Pending,Passed,Low,14
APP-1036,Knauf Analytics Hub,Supply Chain,DACH,Maria Fischer,Under Review,SaaS,Poor,Mission Critical,133613.05,680,2024-05-22,2025-03-23,Pending Review,Compliant,Passed,High,7
APP-1037,Knauf Order Management,Finance & Controlling,North America,Klaus Weber,Phase-Out,Hybrid,Good,Low Value,71848.28,947,2024-03-19,2024-10-17,Pending Review,Compliant,In Progress,High,3
APP-1038,Knauf Field Service,IT & Infrastructure,DACH,Laura Zimmermann,Active,SaaS,Excellent,Important,204360.68,1634,2024-10-21,2025-07-30,Pending Review,Compliant,In Progress,High,13
